Genotype_Micro,Genotype,known_geno,Treatment,Tank,number_Samples,Final_State,R_final_state,Final_fraction_Disease,Days_to_disease_signs,days_from_initial_to_final,General_Notes,Extra_notes,extra2_notes,extra3_notes,Experiment,sample,tube_number,box,ID_Micro,SampleLocation,Disease_Exposed,Disease_Outcome,Disease_Prevalence,Sample_Uniq_ID,Exp_1,Exp_2,Exp_3,Exp_4,Sampled,timepoint,sample_date,Date_initial,Date_final,Date_exp_started,Real_timepoint,R_TP,R_treat,Order_TP
M31,M31,N,D,32,3,Diseased,Diseased,0.4,9,0,NA,NA,NA,NA,4,262-4_4/2/22,262,4,32 _ 4 _ M31,T_262_Exp_4_Box_4,1,1,0.666666667,T_262_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/9/22,3/31/22,Early_Exposure,EE,D,3
GB15,GB15,N,D,32,3,Diseased,Diseased,0.15,10,0,NA,NA,NA,NA,4,263-4_4/2/22,263,4,32 _ 4 _ GB15,T_263_Exp_4_Box_4,1,1,1,T_263_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/10/22,3/31/22,Early_Exposure,EE,D,3
M31,M31,N,D,30,3,Diseased,Diseased,0.3,6,0,NA,NA,NA,NA,4,266-4_4/2/22,266,4,30 _ 4 _ M31,T_266_Exp_4_Box_4,1,1,0.666666667,T_266_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/6/22,3/31/22,Early_Exposure,EE,D,3
M8,M8,N,D,29,3,Diseased,Diseased,0.1,8,0,NA,NA,NA,NA,4,267-4_4/2/22,267,4,29 _ 4 _ M8,T_267_Exp_4_Box_4,1,1,0.5,T_267_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/8/22,3/31/22,Early_Exposure,EE,D,3
F12,F12,Y,D,26,3,Diseased,Diseased,0.5,4,0,NA,NA,NA,NA,4,273-4_4/2/22,273,4,26 _ 4 _ F12,T_273_Exp_4_Box_4,1,1,1,T_273_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/4/22,3/31/22,Early_Exposure,EE,D,3
M20,M20,N,D,22,3,Diseased,Diseased,0.5,10,0,NA,NA,NA,NA,4,281-4_4/2/22,281,4,22 _ 4 _ M20,T_281_Exp_4_Box_4,1,1,0.666666667,T_281_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/10/22,3/31/22,Early_Exposure,EE,D,3
M35,M35,N,D,21,3,Diseased,Diseased,0.4,7,0,NA,NA,NA,NA,4,283-4_4/2/22,283,4,21 _ 4 _ M35,T_283_Exp_4_Box_4,1,1,1,T_283_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/7/22,3/31/22,Early_Exposure,EE,D,3
M13,M13,N,D,20,3,Diseased,Diseased,0.75,13,0,NA,NA,NA,NA,4,284-4_4/2/22,284,4,20 _ 4 _ M13,T_284_Exp_4_Box_4,1,1,0.666666667,T_284_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/13/22,3/31/22,Early_Exposure,EE,D,3
M4,M4,N,D,19,3,Diseased,Diseased,0.1,3,0,NA,NA,NA,NA,4,287-4_4/2/22,287,4,19 _ 4 _ M4,T_287_Exp_4_Box_4,1,1,0.666666667,T_287_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/3/22,3/31/22,Early_Exposure,EE,D,3
M2,M2,N,D,17,3,Diseased,Diseased,0.1,3,0,NA,NA,NA,NA,4,290-4_4/2/22,290,4,17 _ 4 _ M2,T_290_Exp_4_Box_4,1,1,1,T_290_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/3/22,3/31/22,Early_Exposure,EE,D,3
M21,M21,N,D,16,3,Diseased,Diseased,0.95,13,0,NA,NA,NA,NA,4,292-4_4/2/22,292,4,16 _ 4 _ M21,T_292_Exp_4_Box_4,1,1,0.666666667,T_292_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/13/22,3/31/22,Early_Exposure,EE,D,3
M29,M29,N,D,15,3,Diseased,Diseased,0.9,6,0,NA,NA,NA,NA,4,293-4_4/2/22,293,4,15 _ 4 _ M29,T_293_Exp_4_Box_4,1,1,1,T_293_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/6/22,3/31/22,Early_Exposure,EE,D,3
M30,M30,N,D,14,3,Diseased,Diseased,0.3,4,0,NA,NA,NA,NA,4,296-4_4/2/22,296,4,14 _ 4 _ M30,T_296_Exp_4_Box_4,1,1,1,T_296_Exp_4,0,0,0,1,1,Early_Exposure,4/2/22,NA,4/4/22,3/31/22,Early_Exposure,EE,D,3
GB25,GB25,N,D,27,3,Diseased,Diseased,0.05,1,1,NA,NA,NA,NA,4,271-4_4/2/22,271,4,27 _ 4 _ GB25,T_271_Exp_4_Box_4,1,1,1,T_271_Exp_4,0,0,0,1,1,Final,4/2/22,4/1/22,4/2/22,3/31/22,Early_Exposure,EE,D,3
M11,M11,N,D,39,3,Diseased,Diseased,0.15,1,1,NA,NA,NA,NA,4,252-4_4/2/22,252,4,39 _ 4 _ M11,T_252_Exp_4_Box_4,1,1,1,T_252_Exp_4,0,0,0,1,1,Final,4/2/22,4/1/22,4/2/22,3/31/22,Early_Exposure,EE,D,3
M12,M12,N,D,40,4,Diseased,Diseased,0.1,3,-1,NA,NA,NA,NA,4,369-5_4/2/22,369,5,40 _ 4 _ M12,T_369_Exp_4_Box_5,1,1,1,T_369_Exp_4,0,0,0,1,1,Final,4/2/22,4/3/22,4/2/22,3/31/22,Early_Exposure,EE,D,3
M9,M9,N,D,24,3,Diseased,Diseased,0.1,2,1,NA,NA,NA,NA,4,277-4_4/2/22,277,4,24 _ 4 _ M9,T_277_Exp_4_Box_4,1,1,1,T_277_Exp_4,0,0,0,1,1,Initial_Disease,4/2/22,4/2/22,4/3/22,3/31/22,Early_Exposure,EE,D,3
GB13,GB13,N,D,18,3,Diseased,Diseased,0.1,2,1,NA,NA,NA,NA,4,288-4_4/2/22,288,4,18 _ 4 _ GB13,T_288_Exp_4_Box_4,1,1,0.666666667,T_288_Exp_4,0,0,0,1,1,Initial_Disease,4/2/22,4/2/22,4/3/22,3/31/22,Early_Exposure,EE,D,3
M34,M34,N,D,50,3,Diseased,Diseased,0.95,2,4,NA,NA,NA,NA,4,232-3_4/2/22,232,3,50 _ 4 _ M34,T_232_Exp_4_Box_3,1,1,1,T_232_Exp_4,0,0,0,1,1,Initial_Disease,4/2/22,4/2/22,4/6/22,3/31/22,Early_Exposure,EE,D,3
M36,M36,N,D,23,3,Diseased,Diseased,0.1,2,6,NA,second initial,NA,NA,4,279-4_4/2/22,279,4,23 _ 4 _ M36,T_279_Exp_4_Box_4,1,1,1,T_279_Exp_4,0,0,0,1,1,Initial_Disease,4/2/22,4/2/22,4/8/22,3/31/22,Early_Exposure,EE,D,3
M6,M6,N,D,21,3,Diseased,Diseased,0.1,2,16,NA,second initial disease sample,NA,NA,4,282-4_4/2/22,282,4,21 _ 4 _ M6,T_282_Exp_4_Box_4,1,1,1,T_282_Exp_4,0,0,0,1,1,Initial_Disease,4/2/22,4/2/22,4/18/22,3/31/22,Early_Exposure,EE,D,3
OF23,OF23,Y,D,8,4,Diseased,Diseased,0.3,1,5,NA,NA,NA,NA,2,352-4_2/14/22,352,4,8 _ 2 _ OF23,T_352_Exp_2_Box_4,1,1,1,T_352_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/13/22,2/18/22,2/12/22,Early_Exposure,EE,D,3
OF700,OF700,Y,D,11,4,Diseased,Diseased,0.5,1,2,NA,NA,NA,NA,2,358-4_2/14/22,358,4,11 _ 2 _ OF700,T_358_Exp_2_Box_4,1,1,1,T_358_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/13/22,2/15/22,2/12/22,Early_Exposure,EE,D,3
GB9,GB9,N,D,33,4,Diseased,Diseased,0.4,1,2,NA,NA,NA,NA,2,400-5_2/14/22,400,5,33 _ 2 _ GB9,T_400_Exp_2_Box_5,1,1,1,T_400_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/13/22,2/15/22,2/12/22,Early_Exposure,EE,D,3
OF61,OF61,Y,D,50,4,Diseased,Diseased,0.5,1,8,NA,NA,NA,NA,2,433-5_2/14/22,433,5,50 _ 2 _ OF61,T_433_Exp_2_Box_5,1,1,1,T_433_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/13/22,2/21/22,2/12/22,Early_Exposure,EE,D,3
15-349,15_349,Y,D,24,4,Diseased,Diseased,0.1,4,3,NA,NA,NA,NA,2,380-4_2/14/22,380,4,24 _ 2 _ 15-349,T_380_Exp_2_Box_4,1,1,0.666666667,T_380_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/16/22,2/19/22,2/12/22,Early_Exposure,EE,D,3
OF99,OF99,Y,D,28,4,Diseased,Diseased,0.5,4,1,NA,NA,NA,NA,2,389-5_2/14/22,389,5,28 _ 2 _ OF99,T_389_Exp_2_Box_5,1,1,1,T_389_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/16/22,2/17/22,2/12/22,Early_Exposure,EE,D,3
15-350,15_350,Y,D,36,4,Diseased,Diseased,0.3,4,2,NA,NA,NA,NA,2,406-5_2/14/22,406,5,36 _ 2 _ 15-350,T_406_Exp_2_Box_5,1,1,1,T_406_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/16/22,2/18/22,2/12/22,Early_Exposure,EE,D,3
F32,F32,Y,D,42,4,Diseased,Diseased,0.6,4,1,NA,NA,NA,NA,2,416-5_2/14/22,416,5,42 _ 2 _ F32,T_416_Exp_2_Box_5,1,1,1,T_416_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/16/22,2/17/22,2/12/22,Early_Exposure,EE,D,3
OF592,OF592,Y,D,30,4,Diseased,Diseased,0.2,5,2,NA,NA,NA,NA,2,393-5_2/14/22,393,5,30 _ 2 _ OF592,T_393_Exp_2_Box_5,1,1,0.5,T_393_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/17/22,2/19/22,2/12/22,Early_Exposure,EE,D,3
GB12,GB12,N,D,10,4,Diseased,Diseased,0.2,6,5,NA,NA,NA,NA,2,355-4_2/14/22,355,4,10 _ 2 _ GB12,T_355_Exp_2_Box_4,1,1,1,T_355_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/18/22,2/23/22,2/12/22,Early_Exposure,EE,D,3
S331,S331,Y,D,10,4,Diseased,Diseased,0.2,6,1,NA,NA,NA,NA,2,356-4_2/14/22,356,4,10 _ 2 _ S331,T_356_Exp_2_Box_4,1,1,1,T_356_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/18/22,2/19/22,2/12/22,Early_Exposure,EE,D,3
GB20,GB20,N,D,11,4,Diseased,Diseased,0.3,6,1,NA,NA,NA,NA,2,357-4_2/14/22,357,4,11 _ 2 _ GB20,T_357_Exp_2_Box_4,1,1,1,T_357_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/18/22,2/19/22,2/12/22,Early_Exposure,EE,D,3
GB31,GB31,N,D,21,4,Diseased,Diseased,0.5,6,1,NA,NA,NA,NA,2,375-4_2/14/22,375,4,21 _ 2 _ GB31,T_375_Exp_2_Box_4,1,1,1,T_375_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/18/22,2/19/22,2/12/22,Early_Exposure,EE,D,3
OF200,OF200,Y,D,26,4,Diseased,Diseased,0.5,6,1,NA,NA,NA,NA,2,384-5_2/14/22,384,5,26 _ 2 _ OF200,T_384_Exp_2_Box_5,1,1,1,T_384_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/18/22,2/19/22,2/12/22,Early_Exposure,EE,D,3
OF416,OF416,Y,D,26,4,Diseased,Diseased,0.2,6,1,NA,NA,NA,NA,2,385-5_2/14/22,385,5,26 _ 2 _ OF416,T_385_Exp_2_Box_5,1,1,0.5,T_385_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/18/22,2/19/22,2/12/22,Early_Exposure,EE,D,3
S483,S483,Y,D,29,4,Diseased,Diseased,0.2,6,1,"no final pair, but sample taken day before",NA,NA,NA,2,390-5_2/14/22,390,5,29 _ 2 _ S483,T_390_Exp_2_Box_5,1,1,1,T_390_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/18/22,2/19/22,2/12/22,Early_Exposure,EE,D,3
GB19,GB19,N,D,7,4,Diseased,Diseased,0.3,7,1,NA,NA,NA,NA,2,349-4_2/14/22,349,4,7 _ 2 _ GB19,T_349_Exp_2_Box_4,1,1,1,T_349_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/19/22,2/20/22,2/12/22,Early_Exposure,EE,D,3
GB21,GB21,N,D,6,4,Diseased,Diseased,0.6,8,1,NA,NA,NA,NA,2,285-4_2/14/22,285,4,6 _ 2 _ GB21,T_285_Exp_2_Box_4,1,1,0.666666667,T_285_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,2/20/22,2/21/22,2/12/22,Early_Exposure,EE,D,3
UK25,UK25,Y,D,1,3,Diseased,Diseased,0.2,6,0,NA,NA,NA,NA,2,339-4_2/14/22,339,4,1 _ 2 _ UK25,T_339_Exp_2_Box_4,1,1,1,T_339_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/18/22,2/12/22,Early_Exposure,EE,D,3
GB29,GB29,N,D,2,3,Diseased,Diseased,0.1,4,0,NA,NA,NA,NA,2,340-4_2/14/22,340,4,2 _ 2 _ GB29,T_340_Exp_2_Box_4,1,1,1,T_340_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
S503,S503,Y,D,2,3,Diseased,Diseased,0.6,5,0,NA,NA,NA,NA,2,341-4_2/14/22,341,4,2 _ 2 _ S503,T_341_Exp_2_Box_4,1,1,1,T_341_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/17/22,2/12/22,Early_Exposure,EE,D,3
OF662,OF662,Y,D,4,3,Diseased,Diseased,0.3,6,0,NA,NA,NA,NA,2,345-4_2/14/22,345,4,4 _ 2 _ OF662,T_345_Exp_2_Box_4,1,1,1,T_345_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/18/22,2/12/22,Early_Exposure,EE,D,3
OF1,OF1,Y,D,5,3,Diseased,Diseased,0.3,4,0,NA,NA,NA,NA,2,347-4_2/14/22,347,4,5 _ 2 _ OF1,T_347_Exp_2_Box_4,1,1,1,T_347_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
S483,S483,Y,D,6,3,Diseased,Diseased,0.6,6,0,NA,NA,NA,NA,2,348-4_2/14/22,348,4,6 _ 2 _ S483,T_348_Exp_2_Box_4,1,1,1,T_348_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/18/22,2/12/22,Early_Exposure,EE,D,3
OF656,OF656,Y,D,7,3,Diseased,Diseased,0.3,9,0,NA,NA,NA,NA,2,350-4_2/14/22,350,4,7 _ 2 _ OF656,T_350_Exp_2_Box_4,1,1,1,T_350_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/21/22,2/12/22,Early_Exposure,EE,D,3
OF11,OF11,Y,D,9,3,Diseased,Diseased,0.5,6,0,NA,NA,NA,NA,2,354-4_2/14/22,354,4,9 _ 2 _ OF11,T_354_Exp_2_Box_4,1,1,1,T_354_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/18/22,2/12/22,Early_Exposure,EE,D,3
GB1,GB1,N,D,12,3,Diseased,Diseased,0.2,4,0,NA,NA,NA,NA,2,359-4_2/14/22,359,4,12 _ 2 _ GB1,T_359_Exp_2_Box_4,1,1,1,T_359_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
GB25,GB25,N,D,13,3,Diseased,Diseased,0.5,3,0,NA,NA,NA,NA,2,361-4_2/14/22,361,4,13 _ 2 _ GB25,T_361_Exp_2_Box_4,1,1,1,T_361_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/15/22,2/12/22,Early_Exposure,EE,D,3
F32,F32,Y,D,13,3,Diseased,Diseased,0.4,4,0,NA,NA,NA,NA,2,362-4_2/14/22,362,4,13 _ 2 _ F32,T_362_Exp_2_Box_4,1,1,1,T_362_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
AE5,AE5,Y,D,14,3,Diseased,Diseased,0.6,3,0,NA,NA,NA,NA,2,363-4_2/14/22,363,4,14 _ 2 _ AE5,T_363_Exp_2_Box_4,1,1,0.5,T_363_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/15/22,2/12/22,Early_Exposure,EE,D,3
15-353,15_353,Y,D,15,3,Diseased,Diseased,0.3,4,0,NA,NA,NA,NA,2,364-4_2/14/22,364,4,15 _ 2 _ 15-353,T_364_Exp_2_Box_4,1,1,1,T_364_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
S373,S373,Y,D,16,3,Diseased,Diseased,0.9,4,0,NA,NA,NA,NA,2,366-4_2/14/22,366,4,16 _ 2 _ S373,T_366_Exp_2_Box_4,1,1,1,T_366_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
S378,S378,Y,D,17,3,Diseased,Diseased,0.15,3,0,NA,NA,NA,NA,2,368-4_2/14/22,368,4,17 _ 2 _ S378,T_368_Exp_2_Box_4,1,1,1,T_368_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/15/22,2/12/22,Early_Exposure,EE,D,3
GB11,GB11,N,D,18,3,Diseased,Diseased,0.2,4,0,NA,NA,NA,NA,2,369-4_2/14/22,369,4,18 _ 2 _ GB11,T_369_Exp_2_Box_4,1,1,1,T_369_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
OF3,OF3,Y,D,19,3,Diseased,Diseased,0.2,4,0,NA,NA,NA,NA,2,370-4_2/14/22,370,4,19 _ 2 _ OF3,T_370_Exp_2_Box_4,1,1,0.666666667,T_370_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
OF602,OF602,Y,D,19,3,Diseased,Diseased,0.6,5,0,NA,NA,NA,NA,2,371-4_2/14/22,371,4,19 _ 2 _ OF602,T_371_Exp_2_Box_4,1,1,1,T_371_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/17/22,2/12/22,Early_Exposure,EE,D,3
OF100,OF100,Y,D,20,3,Diseased,Diseased,0.1,4,0,NA,NA,NA,NA,2,373-4_2/14/22,373,4,20 _ 2 _ OF100,T_373_Exp_2_Box_4,1,1,1,T_373_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
15-431,15_431,Y,D,21,3,Diseased,Diseased,0.1,4,0,NA,NA,NA,NA,2,374-4_2/14/22,374,4,21 _ 2 _ 15-431,T_374_Exp_2_Box_4,1,1,1,T_374_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
GB13,GB13,N,D,22,3,Diseased,Diseased,0.5,6,0,NA,NA,NA,NA,2,376-4_2/14/22,376,4,22 _ 2 _ GB13,T_376_Exp_2_Box_4,1,1,0.666666667,T_376_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/18/22,2/12/22,Early_Exposure,EE,D,3
AE3,AE3,Y,D,23,3,Diseased,Diseased,0.4,4,0,NA,NA,NA,NA,2,378-4_2/14/22,378,4,23 _ 2 _ AE3,T_378_Exp_2_Box_4,1,1,1,T_378_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
GB18,GB18,N,D,23,3,Diseased,Diseased,0.4,6,0,NA,NA,NA,NA,2,379-4_2/14/22,379,4,23 _ 2 _ GB18,T_379_Exp_2_Box_4,1,1,1,T_379_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/18/22,2/12/22,Early_Exposure,EE,D,3
OF680,OF680,Y,D,24,3,Diseased,Diseased,0.3,5,0,NA,NA,NA,NA,2,381-4_2/14/22,381,4,24 _ 2 _ OF680,T_381_Exp_2_Box_4,1,1,1,T_381_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/17/22,2/12/22,Early_Exposure,EE,D,3
OF5,OF5,Y,D,25,3,Diseased,Diseased,0.3,4,0,NA,NA,NA,NA,2,383-5_2/14/22,383,5,25 _ 2 _ OF5,T_383_Exp_2_Box_5,1,1,0.666666667,T_383_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
GB4,GB4,N,D,27,3,Diseased,Diseased,0.1,4,0,NA,NA,NA,NA,2,386-5_2/14/22,386,5,27 _ 2 _ GB4,T_386_Exp_2_Box_5,1,1,0.666666667,T_386_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
S575,S575,Y,D,27,3,Diseased,Diseased,0.5,5,0,NA,NA,NA,NA,2,387-5_2/14/22,387,5,27 _ 2 _ S575,T_387_Exp_2_Box_5,1,1,0.666666667,T_387_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/17/22,2/12/22,Early_Exposure,EE,D,3
OF75,OF75,Y,D,28,3,Diseased,Diseased,0.4,4,0,NA,NA,NA,NA,2,388-5_2/14/22,388,5,28 _ 2 _ OF75,T_388_Exp_2_Box_5,1,1,1,T_388_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
S509,S509,Y,D,29,3,Diseased,Diseased,0.3,5,0,NA,NA,NA,NA,2,391-5_2/14/22,391,5,29 _ 2 _ S509,T_391_Exp_2_Box_5,1,1,1,T_391_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/17/22,2/12/22,Early_Exposure,EE,D,3
OF125,OF125,Y,D,30,3,Diseased,Diseased,0.5,4,0,NA,NA,NA,NA,2,392-5_2/14/22,392,5,30 _ 2 _ OF125,T_392_Exp_2_Box_5,1,1,1,T_392_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
OF132,OF132,Y,D,31,3,Diseased,Diseased,0.25,4,0,NA,NA,NA,NA,2,399-5_2/14/22,399,5,31 _ 2 _ OF132,T_399_Exp_2_Box_5,1,1,0.666666667,T_399_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
GB7,GB7,N,D,34,2,Diseased,Diseased,0.1,3,0,swapped after pre-exposure,201-3_2/10/22,NA,NA,2,403-5_2/14/22,403,5,34 _ 2 _ GB7,T_403_Exp_2_Box_5,1,1,1,T_403_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/15/22,2/12/22,Early_Exposure,EE,D,3
15-358,15_358,Y,D,35,3,Diseased,Diseased,0.5,4,0,NA,NA,NA,NA,2,404-5_2/14/22,404,5,35 _ 2 _ 15-358,T_404_Exp_2_Box_5,1,1,1,T_404_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
OF566,OF566,Y,D,35,3,Diseased,Diseased,0.5,7,0,NA,NA,NA,NA,2,405-5_2/14/22,405,5,35 _ 2 _ OF566,T_405_Exp_2_Box_5,1,1,0.5,T_405_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/19/22,2/12/22,Early_Exposure,EE,D,3
OF655,OF655,Y,D,36,3,Diseased,Diseased,0.5,4,0,NA,NA,NA,NA,2,407-5_2/14/22,407,5,36 _ 2 _ OF655,T_407_Exp_2_Box_5,1,1,1,T_407_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
GB2,GB2,N,D,38,3,Diseased,Diseased,0.4,4,0,NA,NA,NA,NA,2,410-5_2/14/22,410,5,38 _ 2 _ GB2,T_410_Exp_2_Box_5,1,1,1,T_410_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
GB15,GB15,N,D,38,3,Diseased,Diseased,0.4,4,0,NA,NA,NA,NA,2,411-5_2/14/22,411,5,38 _ 2 _ GB15,T_411_Exp_2_Box_5,1,1,1,T_411_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
F-1-A,F_1_A,Y,D,41,3,Diseased,Diseased,0.5,6,0,NA,NA,NA,NA,2,414-5_2/14/22,414,5,41 _ 2 _ F-1-A,T_414_Exp_2_Box_5,1,1,1,T_414_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/18/22,2/12/22,Early_Exposure,EE,D,3
S509,S509,Y,D,41,3,Diseased,Diseased,0.5,6,0,NA,NA,NA,NA,2,415-5_2/14/22,415,5,41 _ 2 _ S509,T_415_Exp_2_Box_5,1,1,1,T_415_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/18/22,2/12/22,Early_Exposure,EE,D,3
OF705,OF705,Y,D,42,3,Diseased,Diseased,0.5,3,0,NA,NA,NA,NA,2,417-5_2/14/22,417,5,42 _ 2 _ OF705,T_417_Exp_2_Box_5,1,1,1,T_417_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/15/22,2/12/22,Early_Exposure,EE,D,3
GB3,GB3,N,D,43,3,Diseased,Diseased,0.2,5,0,NA,NA,NA,NA,2,418-5_2/14/22,418,5,43 _ 2 _ GB3,T_418_Exp_2_Box_5,1,1,0.666666667,T_418_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/17/22,2/12/22,Early_Exposure,EE,D,3
S331,S331,Y,D,43,3,Diseased,Diseased,0.5,7,0,NA,NA,NA,NA,2,419-5_2/14/22,419,5,43 _ 2 _ S331,T_419_Exp_2_Box_5,1,1,1,T_419_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/19/22,2/12/22,Early_Exposure,EE,D,3
OF46,OF46,Y,D,44,3,Diseased,Diseased,0.2,7,0,NA,NA,NA,NA,2,421-5_2/14/22,421,5,44 _ 2 _ OF46,T_421_Exp_2_Box_5,1,1,1,T_421_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/19/22,2/12/22,Early_Exposure,EE,D,3
OF98,OF98,Y,D,45,3,Diseased,Diseased,0.3,4,0,NA,NA,NA,NA,2,423-5_2/14/22,423,5,45 _ 2 _ OF98,T_423_Exp_2_Box_5,1,1,1,T_423_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/16/22,2/12/22,Early_Exposure,EE,D,3
GB10,GB10,N,D,46,3,Diseased,Diseased,0.2,5,0,NA,NA,NA,NA,2,424-5_2/14/22,424,5,46 _ 2 _ GB10,T_424_Exp_2_Box_5,1,1,0.666666667,T_424_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/17/22,2/12/22,Early_Exposure,EE,D,3
OF101,OF101,Y,D,47,3,Diseased,Diseased,0.1,3,0,NA,NA,NA,NA,2,426-5_2/14/22,426,5,47 _ 2 _ OF101,T_426_Exp_2_Box_5,1,1,1,T_426_Exp_2,0,1,0,0,1,Early_Exposure,2/14/22,NA,2/15/22,2/12/22,Early_Exposure,EE,D,3
